id;case_1_1;case_1_2;case_1_3;case_2_1;case_2_2;case_2_3;case_3_1;case_3_2;case_3_3;case_4_1;case_4_2;case_4_3;case_5_1;case_5_2;case_5_3;case_6_1;case_6_2;case_6_3;case_7_1;case_7_2;case_7_3;case_8_1;case_8_2;case_8_3;case_9_1;case_9_2;case_9_3;emo;rat;group;sex;age;income;isworking;edu;car;city;city_size;time_12;time_34;time_56;time_78;time_9;month;year
1;5;4;3;5;5;5;5;2;2;2;5;5;5;2;2;4;2;4;5;5;2;5;2;5;5;4;3;1;NA;3;0;34;3;1;NA;NA;Челябинск;1195446;183607;149420;431397;260224;15208;8;2019
2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;18;1;0;NA;NA;Челябинск;1195446;55105;7128;4873;6494;3121;8;2019
3;6;2;3;6;6;4;6;4;4;1;3;3;6;5;4;1;3;3;2;3;3;5;5;4;6;6;4;0;0;1;0;22;2;1;NA;NA;Челябинск;1195446;72669;54062;62421;93789;29440;8;2019
4;6;6;3;2;1;3;6;6;2;5;6;6;5;5;2;2;4;5;5;2;3;3;3;3;5;5;3;0;0;1;0;30;3;1;NA;NA;Челябинск;1195446;79134;85212;66519;80564;40907;8;2019
5;6;3;3;6;4;4;5;4;3;2;4;5;4;4;2;2;3;5;5;4;4;5;5;2;6;5;4;1;NA;3;0;34;3;1;NA;NA;Челябинск;1195446;62627;54930;93502;47666;26871;8;2019
6;6;6;2;6;6;1;1;1;5;2;3;6;5;6;1;1;1;6;6;6;3;3;3;2;6;6;3;1;NA;3;0;25;2;1;NA;NA;Москва;12692466;54370;58282;43677;76129;22017;8;2019
7;1;1;5;6;4;2;6;6;2;4;5;6;6;5;4;4;6;6;6;6;2;3;4;3;3;3;4;0;0;1;1;35;5;1;NA;NA;Челябинск;1195446;57792;53174;77238;57409;70719;8;2019
8;NA;NA;6;NA;1;NA;NA;NA;6;NA;NA;5;6;NA;NA;1;NA;NA;NA;5;NA;NA;NA;3;6;NA;NA;1;NA;3;0;20;1;0;NA;NA;Челябинск;1195446;40522;46359;64944;69623;20913;8;2019
9;6;6;1;1;1;1;6;6;1;1;1;6;6;6;1;1;1;6;6;6;1;1;1;6;1;1;6;NA;1;2;0;59;5;0;NA;NA;NA;NA;129001;346101;167464;323955;96842;8;2019
10;NA;6;6;NA;4;NA;NA;6;NA;1;NA;NA;NA;3;NA;NA;3;NA;NA;NA;1;5;NA;NA;NA;4;NA;NA;1;2;0;21;1;0;NA;NA;Челябинск;1195446;40544;136774;9505;36143;9496;8;2019
11;5;NA;NA;NA;2;NA;5;NA;NA;NA;NA;5;NA;2;NA;5;NA;NA;6;NA;NA;4;NA;NA;NA;6;NA;NA;1;2;0;29;2;1;NA;NA;Снежинск ;51488;127061;81960;115781;179386;26988;8;2019
12;6;5;1;6;5;1;1;2;6;4;6;6;6;3;1;1;1;2;6;5;1;6;6;3;5;5;1;1;NA;3;0;19;1;0;NA;NA;Челябинск;1195446;72557;81667;132515;164091;46552;8;2019
13;2;4;5;3;4;4;1;3;5;2;5;6;2;2;2;3;3;4;2;2;2;2;2;3;2;2;3;0;0;1;1;22;2;0;NA;NA;Челябинск;1195446;87369;104141;114406;123599;54161;8;2019
